"","Date Of Stop","SubAgency","Accident","Personal Injury","Property Damage","Fatal","Alcohol","Vehicle Year"
"1",2018-04-12,"3rd District, Silver Spring","No","No","No","No","No","2010"
"2",2016-11-10,"4th District, Wheaton","No","No","No","No","No","2010"
"3",2018-01-31,"2nd District, Bethesda","No","No","No","No","No","1999"
"4",2015-12-08,"6th District, Gaithersburg / Montgomery Village","No","No","No","No","No","2004"
"5",2016-09-14,"4th District, Wheaton","No","No","No","No","No","2012"
"6",2016-05-15,"2nd District, Bethesda","No","No","No","No","No","2003"
"7",2014-10-25,"3rd District, Silver Spring","No","No","Yes","No","No","2010"
"8",2017-11-28,"2nd District, Bethesda","No","No","No","No","No","2012"
"9",2018-03-31,"4th District, Wheaton","No","No","No","No","No","2013"
"10",2018-07-09,"2nd District, Bethesda","No","No","No","No","No","2004"
"11",2018-07-28,"5th District, Germantown","No","No","No","No","No","2008"
"12",2016-09-26,"5th District, Germantown","No","No","No","No","No","2008"
"13",2012-09-03,"4th District, Wheaton","No","No","No","No","No","2000"
"14",2018-07-09,"Headquarters and Special Operations","No","No","No","No","No","2000"
"15",2016-02-16,"4th District, Wheaton","No","No","No","No","No","2005"
"16",2013-05-03,"3rd District, Silver Spring","No","No","No","No","No","2007"
"17",2015-08-17,"4th District, Wheaton","No","No","No","No","No","2008"
"18",2017-09-07,"6th District, Gaithersburg / Montgomery Village","No","No","Yes","No","No","2013"
"19",2013-12-19,"3rd District, Silver Spring","No","No","No","No","No","2002"
"20",2019-03-10,"1st District, Rockville","No","No","No","No","No","2008"
"21",2019-02-28,"4th District, Wheaton","No","No","No","No","No","2013"
"22",2017-06-29,"2nd District, Bethesda","No","No","No","No","No","2014"
"23",2016-04-22,"5th District, Germantown","No","No","No","No","No","2002"
"24",2017-01-20,"4th District, Wheaton","No","No","No","No","No","2015"
"25",2014-06-30,"2nd District, Bethesda","No","No","No","No","No","2003"
"26",2018-09-04,"5th District, Germantown","No","No","No","No","No","2012"
"27",2012-12-21,"4th District, Wheaton","No","No","No","No","No","1995"
"28",2014-12-03,"3rd District, Silver Spring","No","No","No","No","No","2013"
"29",2012-11-19,"2nd District, Bethesda","No","No","No","No","No","1997"
"30",2018-05-19,"2nd District, Bethesda","No","No","No","No","No","2011"
"31",2014-09-30,"4th District, Wheaton","No","No","No","No","No","2002"
"32",2015-04-16,"4th District, Wheaton","No","No","No","No","No","2013"
"33",2017-01-06,"5th District, Germantown","No","No","No","No","No","2010"
"34",2014-05-12,"2nd District, Bethesda","No","No","No","No","No","2003"
"35",2015-02-02,"2nd District, Bethesda","No","No","No","No","No","2003"
"36",2017-06-15,"3rd District, Silver Spring","No","No","No","No","No","2001"
